Area,Nombre,NÂº Fase,Enlace a carpeta
Enfriador 1,Pasarela conducido,Fase I,https://drive.google.com/file/d/1HGPis0_LFSTR1hEYh59QrAx4oayBQQsX/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase I,https://drive.google.com/file/d/1zEY-iJWRJuYUqVPTlRG8tSjx2dt1DTf8/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase II,https://drive.google.com/file/d/19MnDsUSK5rzfRYI2cv8qwagzOS83Q5_H/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase II,https://drive.google.com/file/d/1Rm54XqEmSOq_Ag1rIQo08sN-4k2vg-Mv/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase II,https://drive.google.com/file/d/1ua3swab6kKQALWs9EtTTts4ibmM3K4nd/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase II,https://drive.google.com/file/d/1rNOsUrXAddUmfwpYJIt6o_1GYkaNMgyn/view?usp=drive_link
Enfriador 1,Pasarela conducido,Fase II,https://drive.google.com/file/d/11vSitXz9_iGQJ9ikFXup2Vfb-F_zLtBV/view?usp=drive_link
Enfriador 1,Union,Fase II,https://drive.google.com/file/d/1OhXnHQwFVsEahWgvT4IKfMeNm9nArNsN/view?usp=drive_link
Enfriador 1,Union,Fase II,https://drive.google.com/file/d/1GBCxG2hpVSCn38BLmJvJyKu0XE89rPnA/view?usp=drive_link
,,,
,,,
Acondicionador,Montaje,Bancadas,https://drive.google.com/file/d/1o5CsVDLp2aeZEbivIiQwzBrvKumfBAu4/view?usp=drive_link
Acondicionador,Montaje,,https://drive.google.com/file/d/1SmPQYBB6gLFbhWJ5c_agT3eNMJdaGV5Q/view?usp=drive_link
Acondicionador,Rotativo,,https://drive.google.com/file/d/1clqVv4h1EQbvoGcoPEoOuLU113GRx3Ul/view?usp=drive_link
Acondicionador,Bancada,Ruedas entrada,https://drive.google.com/file/d/1iVMYRul8OXJURAWw-wYbI68Boi_cGy2I/view?usp=drive_link
,,,
Acondicionador,Pasalera completa,,https://drive.google.com/file/d/1HgggXS97_QtHyJ7kEPPI7vzjlW6cK7E6/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase I,https://drive.google.com/file/d/1JJB4ydv2yadVjSDd_OsmD02efwbdvh3e/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase I,https://drive.google.com/file/d/1khIl_ZBw22zODaHLouim6FHVaf4hqW6K/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/176VwqCQvvTbCbvV39fXh8DMMa7kIkFdb/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/1Hc72Zi_Qase7uuUry65jn9cLaCNPGN8-/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/1H1gH6gHJ7nVPX3ogIWMzNdCkEiZkmWyn/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/1isa0ghh0LHMQOxizNBwj6_75DQ1lLpp3/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/1e8-Ak9jnwTGXbwu3pyiPolMD2zWAMLb6/view?usp=drive_link
Acondicionador,Pasarela motriz,Fase II,https://drive.google.com/file/d/1cUVJn8DouU0Fok8_DIE859UvbR94c5fK/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase I,https://drive.google.com/file/d/1L22h4e1OY_FV24QNbTqrB5iJvcjS9tO_/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase I,https://drive.google.com/file/d/1GaZfTbPvo_5sj_peGNr-1cq2P7mnHh7o/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase II,https://drive.google.com/file/d/19CZuZjU4-_6s6xfW9IDC2cJyZXoIwLSW/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase II,https://drive.google.com/file/d/1wk-KALpWLtd8o1i8XY3ezQcZRhbm7oow/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase II,https://drive.google.com/file/d/1uTBoNj-GZmBkMlZUW8TfoFQV0QHjlqAQ/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase II,https://drive.google.com/file/d/1mkmm9j5dzmn5BNXwQY7mV0PlQozm4fcY/view?usp=drive_link
Acondicionador,Pasarela conducido,Fase II,https://drive.google.com/file/d/1xg8LkjYZ8m1WOEBgmFwdXqVf1ah2Ahac/view?usp=drive_link
Acondicionador,Union,Fase II,https://drive.google.com/file/d/1F16u7dcawFRIlVubBvOm2ELzfWYIUkNo/view?usp=drive_link
Acondicionador,Union,Fase II,https://drive.google.com/file/d/1Ahnx2ZrIoh8Vnpguf8AY1PZBzf0nGdgh/view?usp=drive_link
Scrubbers,MuÃ±ones,Fase I,https://drive.google.com/file/d/1OPK4EtA42CvO8ATIWjsLIrhWzrzPIige/view?usp=drive_link
Scrubbers,Pilares+1ÂºPiso,Fase II,https://drive.google.com/file/d/1rrocwTStSwZRDgGbX-JzKNJl_8GLIPwK/view?usp=drive_link
Scrubbers,2Âº Piso,Fase III,https://drive.google.com/file/d/1R-Qi-OcJ5SPs70ThhMop0hlJuk1IKHnP/view?usp=drive_link
Scrubbers,3Âº Piso,Fase IV,https://drive.google.com/file/d/1vnYiaOFRNF_z1IbVKDtBP4L41bBcJotr/view?usp=drive_link
Scrubbers,4Âº Piso,Fase V,https://drive.google.com/file/d/1PtqVl8YHAcdeLKqCy0o5XImd2JVQ2mBX/view?usp=drive_link
,,,
,,,
Edificio filtros,Placas nivelaciÃ³n/Union,Fase I,
Edificio filtros,Bastidores,,https://drive.google.com/file/d/1odV-mCpekbYV-btQjPc8NAdZ5hZmqSgI/view?usp=drive_link
Edificio filtros,Estructura ventiladores,Porticos,https://drive.google.com/file/d/1KI1Y0bDe9p7qvSxCsEZfF83SfihdIQ8B/view?usp=drive_link
Edificio filtros,Estructura ventiladores,Pasarelas,https://drive.google.com/file/d/13kCLEaNJG-KdG_0rLoJs5cuohdWFQ_fA/view?usp=drive_link
Edificio filtros,Escaleras,Grandes,https://drive.google.com/file/d/1ZKKn1Pp23BKe-mpUQmIi2Va0WbH8sp1q/view?usp=drive_link
Edificio filtros,Escaleras,PequeÃ±as,https://drive.google.com/file/d/1CxY_qkkJ-OSJO6GQXJTCMhjryZ26ipJc/view?usp=drive_link
,,,
Filtros AISI&Mixtos,Apoyos,,https://drive.google.com/file/d/1Tgo6qf6gXrD5Wt1bg_O0_bxlV3SUKECN/view?usp=drive_link
Filtros AISI&Mixtos,Apoyos,Column C,https://drive.google.com/file/d/18aejVp9E_Qw8TX55TvlWBm8dgZ4CSs8e/view?usp=drive_link
Filtros AISI&Mixtos,Apoyos,Column B,https://drive.google.com/file/d/1fjOpUWDtlTy0EmOgCFuArViCwL7cG2Mp/view?usp=drive_link
Filtros AISI&Mixtos,Apoyos,Column A,https://drive.google.com/file/d/1bTUo_wy9n4HEekH1E52mQ4eSbMzkaVZP/view?usp=drive_link
